bench,bpred,size,frmt,metric,value
gcc,tscl,1MB,1,reverse_dir_hits,1984771
gcc,tscl,1MB,1,reverse_misses,75686
gcc,tscl,1MB,1,reverse_jr_hits,138533
gcc,tscl,1MB,1,reverse_jr_seen,174461
gcc,tscl,1MB,1,reverse_jr_non_ras_hits.PP,17148
gcc,tscl,1MB,1,reverse_jr_non_ras_seen.PP,53076
gcc,tscl,1MB,1,reverse_bpred_addr_rate,0.9342
gcc,tscl,1MB,1,reverse_bpred_dir_rate,0.9633
gcc,tscl,1MB,1,reverse_bpred_jr_rate,0.7941
gcc,tscl,1MB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,tscl,1MB,1,reverse_retstack_pushes,121385
gcc,tscl,1MB,1,reverse_retstack_pops,121396
gcc,tscl,1MB,1,reverse_used_ras.PP,121385
gcc,tscl,1MB,1,reverse_ras_hits.PP,121385
gcc,tscl,1MB,1,reverse_ras_rate.PP,1.0000
gcc,tscl,1MB,0,lookups,2410437
gcc,tscl,1MB,0,updates,2060457
gcc,tscl,1MB,0,addr_hits,1860151
gcc,tscl,1MB,0,dir_hits,1922661
gcc,tscl,1MB,0,misses,137796
gcc,tscl,1MB,0,jr_hits,134594
gcc,tscl,1MB,0,jr_seen,174461
gcc,tscl,1MB,0,jr_non_ras_hits.PP,17126
gcc,tscl,1MB,0,jr_non_ras_seen.PP,53076
gcc,tscl,1MB,0,bpred_addr_rate,0.9028
gcc,tscl,1MB,0,bpred_dir_rate,0.9331
gcc,tscl,1MB,0,bpred_jr_rate,0.7715
gcc,tscl,1MB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,tscl,1MB,0,retstack_pushes,148426
gcc,tscl,1MB,0,retstack_pops,133806
gcc,tscl,1MB,0,used_ras.PP,121385
gcc,tscl,1MB,0,ras_hits.PP,117468
gcc,tscl,1MB,0,ras_rate.PP,0.9677
gcc,tscl,1MB,0,reverse_lookups,2060457
gcc,tscl,1MB,0,reverse_updates,2060457
gcc,tscl,1MB,0,reverse_addr_hits,1918255
gcc,tscl,1MB,0,reverse_dir_hits,1978229
gcc,tscl,1MB,0,reverse_misses,82228
gcc,tscl,1MB,0,reverse_jr_hits,138533
gcc,tscl,1MB,0,reverse_jr_seen,174461
gcc,tscl,1MB,0,reverse_jr_non_ras_hits.PP,17148
gcc,tscl,1MB,0,reverse_jr_non_ras_seen.PP,53076
gcc,tscl,1MB,0,reverse_bpred_addr_rate,0.9310
gcc,tscl,1MB,0,reverse_bpred_dir_rate,0.9601
gcc,tscl,1MB,0,reverse_bpred_jr_rate,0.7941
gcc,tscl,1MB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,tscl,1MB,0,reverse_retstack_pushes,121385
