benchmark,predictor,budget_label,budget_entries,mode,instructions,ipc,fwd_dir_rate,rev_dir_rate,fwd_addr_rate,rev_addr_rate,tage_fwd_tag_matches,sc_fwd_inversions,loop_fwd_hits,loop_rev_hits
gcc,inorder,0KB,0,twin,10000001,0.5540,0.8954,0.8951,0.8686,0.8697,,,,
gcc,mbp,16KB,16384,frmt,10000000,0.7863,0.8949,0.9306,0.8661,0.9043,0,0,0,0
gcc,mbp,16KB,16384,twin,10000003,0.7856,0.8947,0.9327,0.8659,0.9060,,,,
gcc,mbp,32KB,32768,frmt,10000000,0.7927,0.9043,0.9392,0.8752,0.9123,0,0,0,0
gcc,mbp,32KB,32768,twin,10000003,0.7919,0.9042,0.9447,0.8750,0.9172,,,,
gcc,mbp,64KB,65536,frmt,10000000,0.7992,0.9138,0.9469,0.8843,0.9194,0,0,0,0
gcc,mbp,64KB,65536,twin,10000003,0.7985,0.9137,0.9584,0.8843,0.9299,,,,
gcc,mbp,128KB,131072,frmt,10000000,0.8040,0.9204,0.9601,0.8907,0.9318,0,0,0,0
gcc,mbp,128KB,131072,twin,10000003,0.8032,0.9204,0.9712,0.8907,0.9422,,,,
gcc,mbp,256KB,262144,frmt,10000000,0.8063,0.9243,0.9762,0.8944,0.9468,0,0,0,0
gcc,mbp,256KB,262144,twin,10000003,0.8056,0.9242,0.9804,0.8944,0.9508,,,,
gcc,mbp,512KB,524288,frmt,10000000,0.8077,0.9263,0.9891,0.8964,0.9589,0,0,0,0
gcc,mbp,512KB,524288,twin,10000003,0.8069,0.9263,0.9861,0.8964,0.9561,,,,
gcc,mbp,1MB,1048576,frmt,10000000,0.8080,0.9269,0.9938,0.8970,0.9634,0,0,0,0
gcc,mbp,1MB,1048576,twin,10000003,0.8071,0.9269,0.9899,0.8970,0.9597,,,,
gcc,ob,16KB,16384,frmt,10000000,0.7863,0.8949,0.9304,0.8661,0.9041,0,0,0,0
gcc,ob,16KB,16384,twin,10000003,0.7856,0.8947,0.9322,0.8659,0.9056,,,,
gcc,ob,32KB,32768,frmt,10000000,0.7927,0.9043,0.9388,0.8752,0.9120,0,0,0,0
gcc,ob,32KB,32768,twin,10000003,0.7919,0.9042,0.9438,0.8750,0.9165,,,,
gcc,ob,64KB,65536,frmt,10000000,0.7992,0.9138,0.9463,0.8843,0.9189,0,0,0,0
gcc,ob,64KB,65536,twin,10000003,0.7985,0.9137,0.9573,0.8843,0.9291,,,,
gcc,ob,128KB,131072,frmt,10000000,0.8040,0.9204,0.9585,0.8907,0.9303,0,0,0,0
gcc,ob,128KB,131072,twin,10000003,0.8032,0.9204,0.9702,0.8907,0.9413,,,,
gcc,ob,256KB,262144,frmt,10000000,0.8063,0.9243,0.9732,0.8944,0.9440,0,0,0,0
gcc,ob,256KB,262144,twin,10000003,0.8056,0.9242,0.9797,0.8944,0.9501,,,,
gcc,ob,512KB,524288,frmt,10000000,0.8077,0.9263,0.9857,0.8964,0.9556,0,0,0,0
gcc,ob,512KB,524288,twin,10000003,0.8069,0.9263,0.9856,0.8964,0.9557,,,,
gcc,ob,1MB,1048576,frmt,10000000,0.8080,0.9269,0.9911,0.8970,0.9607,0,0,0,0
gcc,ob,1MB,1048576,twin,10000003,0.8071,0.9269,0.9896,0.8970,0.9594,,,,
gcc,oht,16KB,16384,frmt,10000000,0.7863,0.8949,0.9289,0.8661,0.9026,0,0,0,0
gcc,oht,16KB,16384,twin,10000003,0.7856,0.8947,0.9324,0.8659,0.9058,,,,
gcc,oht,32KB,32768,frmt,10000000,0.7927,0.9043,0.9370,0.8752,0.9102,0,0,0,0
gcc,oht,32KB,32768,twin,10000003,0.7919,0.9042,0.9445,0.8750,0.9171,,,,
gcc,oht,64KB,65536,frmt,10000000,0.7992,0.9138,0.9435,0.8843,0.9162,0,0,0,0
gcc,oht,64KB,65536,twin,10000003,0.7985,0.9137,0.9583,0.8843,0.9299,,,,
gcc,oht,128KB,131072,frmt,10000000,0.8040,0.9204,0.9525,0.8907,0.9248,0,0,0,0
gcc,oht,128KB,131072,twin,10000003,0.8032,0.9204,0.9712,0.8907,0.9421,,,,
gcc,oht,256KB,262144,frmt,10000000,0.8063,0.9243,0.9622,0.8944,0.9338,0,0,0,0
gcc,oht,256KB,262144,twin,10000003,0.8056,0.9242,0.9804,0.8944,0.9507,,,,
gcc,oht,512KB,524288,frmt,10000000,0.8077,0.9263,0.9735,0.8964,0.9443,0,0,0,0
gcc,oht,512KB,524288,twin,10000003,0.8069,0.9263,0.9861,0.8964,0.9561,,,,
gcc,oht,1MB,1048576,frmt,10000000,0.8080,0.9269,0.9822,0.8970,0.9524,0,0,0,0
gcc,oht,1MB,1048576,twin,10000003,0.8071,0.9269,0.9899,0.8970,0.9597,,,,
