bench,bpred,size,frmt,metric,value
gcc,ob,256KB,1,reverse_jr_non_ras_seen.PP,53076
gcc,ob,256KB,1,reverse_bpred_addr_rate,0.9245
gcc,ob,256KB,1,reverse_bpred_dir_rate,0.9522
gcc,ob,256KB,1,reverse_bpred_jr_rate,0.7941
gcc,ob,256KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,ob,256KB,1,reverse_retstack_pushes,121385
gcc,ob,256KB,1,reverse_retstack_pops,121396
gcc,ob,256KB,1,reverse_used_ras.PP,121385
gcc,ob,256KB,1,reverse_ras_hits.PP,121385
gcc,ob,256KB,1,reverse_ras_rate.PP,1.0000
gcc,ob,256KB,0,lookups,2331603
gcc,ob,256KB,0,updates,2060457
gcc,ob,256KB,0,addr_hits,1842910
gcc,ob,256KB,0,dir_hits,1904360
gcc,ob,256KB,0,misses,156097
gcc,ob,256KB,0,jr_hits,135011
gcc,ob,256KB,0,jr_seen,174461
gcc,ob,256KB,0,jr_non_ras_hits.PP,17126
gcc,ob,256KB,0,jr_non_ras_seen.PP,53076
gcc,ob,256KB,0,bpred_addr_rate,0.8944
gcc,ob,256KB,0,bpred_dir_rate,0.9242
gcc,ob,256KB,0,bpred_jr_rate,0.7739
gcc,ob,256KB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,256KB,0,retstack_pushes,148530
gcc,ob,256KB,0,retstack_pops,135869
gcc,ob,256KB,0,used_ras.PP,121385
gcc,ob,256KB,0,ras_hits.PP,117885
gcc,ob,256KB,0,ras_rate.PP,0.9712
gcc,ob,256KB,0,reverse_lookups,2060457
gcc,ob,256KB,0,reverse_updates,2060457
gcc,ob,256KB,0,reverse_addr_hits,1957741
gcc,ob,256KB,0,reverse_dir_hits,2018572
gcc,ob,256KB,0,reverse_misses,41885
gcc,ob,256KB,0,reverse_jr_hits,138533
gcc,ob,256KB,0,reverse_jr_seen,174461
gcc,ob,256KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,ob,256KB,0,reverse_jr_non_ras_seen.PP,53076
gcc,ob,256KB,0,reverse_bpred_addr_rate,0.9501
gcc,ob,256KB,0,reverse_bpred_dir_rate,0.9797
gcc,ob,256KB,0,reverse_bpred_jr_rate,0.7941
gcc,ob,256KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,ob,256KB,0,reverse_retstack_pushes,121385
gcc,ob,256KB,0,reverse_retstack_pops,121396
gcc,ob,256KB,0,reverse_used_ras.PP,121385
gcc,ob,256KB,0,reverse_ras_hits.PP,121385
gcc,ob,256KB,0,reverse_ras_rate.PP,1.0000
gcc,ob,32KB,1,lookups,2372592
gcc,ob,32KB,1,updates,2060457
gcc,ob,32KB,1,addr_hits,1802994
gcc,ob,32KB,1,dir_hits,1862963
gcc,ob,32KB,1,misses,197494
gcc,ob,32KB,1,jr_hits,134760
gcc,ob,32KB,1,jr_seen,174461
gcc,ob,32KB,1,jr_non_ras_hits.PP,17126
gcc,ob,32KB,1,jr_non_ras_seen.PP,53076
gcc,ob,32KB,1,bpred_addr_rate,0.8750
gcc,ob,32KB,1,bpred_dir_rate,0.9042
gcc,ob,32KB,1,bpred_jr_rate,0.7724
gcc,ob,32KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,32KB,1,retstack_pushes,152312
gcc,ob,32KB,1,retstack_pops,137483
gcc,ob,32KB,1,used_ras.PP,121385
gcc,ob,32KB,1,ras_hits.PP,117634
gcc,ob,32KB,1,ras_rate.PP,0.9691
gcc,ob,32KB,1,reverse_lookups,2060457
gcc,ob,32KB,1,reverse_updates,2060457
gcc,ob,32KB,1,reverse_addr_hits,1872624
gcc,ob,32KB,1,reverse_dir_hits,1927684
gcc,ob,32KB,1,reverse_misses,132773
gcc,ob,32KB,1,reverse_jr_hits,138533
gcc,ob,32KB,1,reverse_jr_seen,174461
gcc,ob,32KB,1,reverse_jr_non_ras_hits.PP,17148
gcc,ob,32KB,1,reverse_jr_non_ras_seen.PP,53076
gcc,ob,32KB,1,reverse_bpred_addr_rate,0.9088
gcc,ob,32KB,1,reverse_bpred_dir_rate,0.9356
gcc,ob,32KB,1,reverse_bpred_jr_rate,0.7941
gcc,ob,32KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,ob,32KB,1,reverse_retstack_pushes,121385
gcc,ob,32KB,1,reverse_retstack_pops,121396
gcc,ob,32KB,1,reverse_used_ras.PP,121385
gcc,ob,32KB,1,reverse_ras_hits.PP,121385
gcc,ob,32KB,1,reverse_ras_rate.PP,1.0000
gcc,ob,32KB,0,lookups,2372592
gcc,ob,32KB,0,updates,2060457
gcc,ob,32KB,0,addr_hits,1802994
gcc,ob,32KB,0,dir_hits,1862963
gcc,ob,32KB,0,misses,197494
gcc,ob,32KB,0,jr_hits,134760
gcc,ob,32KB,0,jr_seen,174461
gcc,ob,32KB,0,jr_non_ras_hits.PP,17126
gcc,ob,32KB,0,jr_non_ras_seen.PP,53076
gcc,ob,32KB,0,bpred_addr_rate,0.8750
gcc,ob,32KB,0,bpred_dir_rate,0.9042
gcc,ob,32KB,0,bpred_jr_rate,0.7724
gcc,ob,32KB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,32KB,0,retstack_pushes,152312
gcc,ob,32KB,0,retstack_pops,137483
gcc,ob,32KB,0,used_ras.PP,121385
gcc,ob,32KB,0,ras_hits.PP,117634
gcc,ob,32KB,0,ras_rate.PP,0.9691
gcc,ob,32KB,0,reverse_lookups,2060457
gcc,ob,32KB,0,reverse_updates,2060457
gcc,ob,32KB,0,reverse_addr_hits,1888431
gcc,ob,32KB,0,reverse_dir_hits,1944597
gcc,ob,32KB,0,reverse_misses,115860
gcc,ob,32KB,0,reverse_jr_hits,138533
gcc,ob,32KB,0,reverse_jr_seen,174461
gcc,ob,32KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,ob,32KB,0,reverse_jr_non_ras_seen.PP,53076
gcc,ob,32KB,0,reverse_bpred_addr_rate,0.9165
gcc,ob,32KB,0,reverse_bpred_dir_rate,0.9438
gcc,ob,32KB,0,reverse_bpred_jr_rate,0.7941
gcc,ob,32KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,ob,32KB,0,reverse_retstack_pushes,121385
gcc,ob,32KB,0,reverse_retstack_pops,121396
gcc,ob,32KB,0,reverse_used_ras.PP,121385
gcc,ob,32KB,0,reverse_ras_hits.PP,121385
gcc,ob,32KB,0,reverse_ras_rate.PP,1.0000
gcc,ob,512KB,1,lookups,2329191
gcc,ob,512KB,1,updates,2060457
gcc,ob,512KB,1,addr_hits,1847026
gcc,ob,512KB,1,dir_hits,1908700
gcc,ob,512KB,1,misses,151757
gcc,ob,512KB,1,jr_hits,135003
gcc,ob,512KB,1,jr_seen,174461
gcc,ob,512KB,1,jr_non_ras_hits.PP,17126
gcc,ob,512KB,1,jr_non_ras_seen.PP,53076
gcc,ob,512KB,1,bpred_addr_rate,0.8964
gcc,ob,512KB,1,bpred_dir_rate,0.9263
gcc,ob,512KB,1,bpred_jr_rate,0.7738
gcc,ob,512KB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,512KB,1,retstack_pushes,148225
gcc,ob,512KB,1,retstack_pops,135765
gcc,ob,512KB,1,used_ras.PP,121385
gcc,ob,512KB,1,ras_hits.PP,117877
gcc,ob,512KB,1,ras_rate.PP,0.9711
gcc,ob,512KB,1,reverse_lookups,2060457
gcc,ob,512KB,1,reverse_updates,2060457
gcc,ob,512KB,1,reverse_addr_hits,1910722
gcc,ob,512KB,1,reverse_dir_hits,1968050
gcc,ob,512KB,1,reverse_misses,92407
gcc,ob,512KB,1,reverse_jr_hits,138533
gcc,ob,512KB,1,reverse_jr_seen,174461
gcc,ob,512KB,1,reverse_jr_non_ras_hits.PP,17148
gcc,ob,512KB,1,reverse_jr_non_ras_seen.PP,53076
gcc,ob,512KB,1,reverse_bpred_addr_rate,0.9273
gcc,ob,512KB,1,reverse_bpred_dir_rate,0.9552
gcc,ob,512KB,1,reverse_bpred_jr_rate,0.7941
gcc,ob,512KB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,ob,512KB,1,reverse_retstack_pushes,121385
gcc,ob,512KB,1,reverse_retstack_pops,121396
gcc,ob,512KB,1,reverse_used_ras.PP,121385
gcc,ob,512KB,1,reverse_ras_hits.PP,121385
gcc,ob,512KB,1,reverse_ras_rate.PP,1.0000
gcc,ob,512KB,0,lookups,2329191
gcc,ob,512KB,0,updates,2060457
gcc,ob,512KB,0,addr_hits,1847026
gcc,ob,512KB,0,dir_hits,1908700
gcc,ob,512KB,0,misses,151757
gcc,ob,512KB,0,jr_hits,135003
gcc,ob,512KB,0,jr_seen,174461
gcc,ob,512KB,0,jr_non_ras_hits.PP,17126
gcc,ob,512KB,0,jr_non_ras_seen.PP,53076
gcc,ob,512KB,0,bpred_addr_rate,0.8964
gcc,ob,512KB,0,bpred_dir_rate,0.9263
gcc,ob,512KB,0,bpred_jr_rate,0.7738
gcc,ob,512KB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,ob,512KB,0,retstack_pushes,148225
gcc,ob,512KB,0,retstack_pops,135765
gcc,ob,512KB,0,used_ras.PP,121385
gcc,ob,512KB,0,ras_hits.PP,117877
gcc,ob,512KB,0,ras_rate.PP,0.9711
gcc,ob,512KB,0,reverse_lookups,2060457
gcc,ob,512KB,0,reverse_updates,2060457
gcc,ob,512KB,0,reverse_addr_hits,1969137
gcc,ob,512KB,0,reverse_dir_hits,2030750
gcc,ob,512KB,0,reverse_misses,29707
gcc,ob,512KB,0,reverse_jr_hits,138533
gcc,ob,512KB,0,reverse_jr_seen,174461
gcc,ob,512KB,0,reverse_jr_non_ras_hits.PP,17148
gcc,ob,512KB,0,reverse_jr_non_ras_seen.PP,53076
gcc,ob,512KB,0,reverse_bpred_addr_rate,0.9557
gcc,ob,512KB,0,reverse_bpred_dir_rate,0.9856
gcc,ob,512KB,0,reverse_bpred_jr_rate,0.7941
gcc,ob,512KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,ob,512KB,0,reverse_retstack_pushes,121385
gcc,ob,512KB,0,reverse_retstack_pops,121396
gcc,ob,512KB,0,reverse_used_ras.PP,121385
gcc,ob,512KB,0,reverse_ras_hits.PP,121385
gcc,ob,512KB,0,reverse_ras_rate.PP,1.0000
gcc,ob,64KB,1,lookups,2352307
gcc,ob,64KB,1,updates,2060457
gcc,ob,64KB,1,addr_hits,1822038
gcc,ob,64KB,1,dir_hits,1882635
gcc,ob,64KB,1,misses,177822
gcc,ob,64KB,1,jr_hits,134894
