bench,bpred,size,frmt,metric,value
gcc,bimod,16KB,0,reverse_bpred_addr_rate,0.8866
gcc,bimod,16KB,0,reverse_bpred_dir_rate,0.9135
gcc,bimod,16KB,0,reverse_bpred_jr_rate,0.7941
gcc,bimod,16KB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,16KB,0,reverse_retstack_pushes,121385
gcc,bimod,16KB,0,reverse_retstack_pops,121396
gcc,bimod,16KB,0,reverse_used_ras.PP,121385
gcc,bimod,16KB,0,reverse_ras_hits.PP,121385
gcc,bimod,16KB,0,reverse_ras_rate.PP,1.0000
gcc,bimod,1MB,1,lookups,2455038
gcc,bimod,1MB,1,updates,2060457
gcc,bimod,1MB,1,addr_hits,1829810
gcc,bimod,1MB,1,dir_hits,1891139
gcc,bimod,1MB,1,misses,169318
gcc,bimod,1MB,1,jr_hits,134463
gcc,bimod,1MB,1,jr_seen,174461
gcc,bimod,1MB,1,jr_non_ras_hits.PP,17126
gcc,bimod,1MB,1,jr_non_ras_seen.PP,53076
gcc,bimod,1MB,1,bpred_addr_rate,0.8881
gcc,bimod,1MB,1,bpred_dir_rate,0.9178
gcc,bimod,1MB,1,bpred_jr_rate,0.7707
gcc,bimod,1MB,1,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,1MB,1,retstack_pushes,153181
gcc,bimod,1MB,1,retstack_pops,136016
gcc,bimod,1MB,1,used_ras.PP,121385
gcc,bimod,1MB,1,ras_hits.PP,117337
gcc,bimod,1MB,1,ras_rate.PP,0.9667
gcc,bimod,1MB,1,reverse_lookups,2060457
gcc,bimod,1MB,1,reverse_updates,2060457
gcc,bimod,1MB,1,reverse_addr_hits,1836476
gcc,bimod,1MB,1,reverse_dir_hits,1893294
gcc,bimod,1MB,1,reverse_misses,167163
gcc,bimod,1MB,1,reverse_jr_hits,138533
gcc,bimod,1MB,1,reverse_jr_seen,174461
gcc,bimod,1MB,1,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,1MB,1,reverse_jr_non_ras_seen.PP,53076
gcc,bimod,1MB,1,reverse_bpred_addr_rate,0.8913
gcc,bimod,1MB,1,reverse_bpred_dir_rate,0.9189
gcc,bimod,1MB,1,reverse_bpred_jr_rate,0.7941
gcc,bimod,1MB,1,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,1MB,1,reverse_retstack_pushes,121385
gcc,bimod,1MB,1,reverse_retstack_pops,121396
gcc,bimod,1MB,1,reverse_used_ras.PP,121385
gcc,bimod,1MB,1,reverse_ras_hits.PP,121385
gcc,bimod,1MB,1,reverse_ras_rate.PP,1.0000
gcc,bimod,1MB,0,lookups,2455038
gcc,bimod,1MB,0,updates,2060457
gcc,bimod,1MB,0,addr_hits,1829810
gcc,bimod,1MB,0,dir_hits,1891139
gcc,bimod,1MB,0,misses,169318
gcc,bimod,1MB,0,jr_hits,134463
gcc,bimod,1MB,0,jr_seen,174461
gcc,bimod,1MB,0,jr_non_ras_hits.PP,17126
gcc,bimod,1MB,0,jr_non_ras_seen.PP,53076
gcc,bimod,1MB,0,bpred_addr_rate,0.8881
gcc,bimod,1MB,0,bpred_dir_rate,0.9178
gcc,bimod,1MB,0,bpred_jr_rate,0.7707
gcc,bimod,1MB,0,bpred_jr_non_ras_rate.PP,0.3227
gcc,bimod,1MB,0,retstack_pushes,153181
gcc,bimod,1MB,0,retstack_pops,136016
gcc,bimod,1MB,0,used_ras.PP,121385
gcc,bimod,1MB,0,ras_hits.PP,117337
gcc,bimod,1MB,0,ras_rate.PP,0.9667
gcc,bimod,1MB,0,reverse_lookups,2060457
gcc,bimod,1MB,0,reverse_updates,2060457
gcc,bimod,1MB,0,reverse_addr_hits,1836819
gcc,bimod,1MB,0,reverse_dir_hits,1893755
gcc,bimod,1MB,0,reverse_misses,166702
gcc,bimod,1MB,0,reverse_jr_hits,138533
gcc,bimod,1MB,0,reverse_jr_seen,174461
gcc,bimod,1MB,0,reverse_jr_non_ras_hits.PP,17148
gcc,bimod,1MB,0,reverse_jr_non_ras_seen.PP,53076
gcc,bimod,1MB,0,reverse_bpred_addr_rate,0.8915
gcc,bimod,1MB,0,reverse_bpred_dir_rate,0.9191
gcc,bimod,1MB,0,reverse_bpred_jr_rate,0.7941
gcc,bimod,1MB,0,reverse_bpred_jr_non_ras_rate.PP,0.3231
gcc,bimod,1MB,0,reverse_retstack_pushes,121385
gcc,bimod,1MB,0,reverse_retstack_pops,121396
gcc,bimod,1MB,0,reverse_used_ras.PP,121385
gcc,bimod,1MB,0,reverse_ras_hits.PP,121385
gcc,bimod,1MB,0,reverse_ras_rate.PP,1.0000
gcc,bimod,256KB,1,lookups,2455039
gcc,bimod,256KB,1,updates,2060457
gcc,bimod,256KB,1,addr_hits,1829808
gcc,bimod,256KB,1,dir_hits,1891136
